command,language,intent,action
dobara bolo jarvis,hinglish,sys.repeat,voice.repeatLast()
repeat karo,hinglish,sys.repeat,voice.repeatLast()
jarvis repeat karo,hinglish,sys.repeat,voice.repeatLast()
repeat karo jarvis,hinglish,sys.repeat,voice.repeatLast()
kya bola tune,hinglish,sys.repeat,voice.repeatLast()
jarvis kya bola tune,hinglish,sys.repeat,voice.repeatLast()
kya bola tune jarvis,hinglish,sys.repeat,voice.repeatLast()
stop listening,en,sys.sleep,voice.stopListening()
jarvis stop listening,en,sys.sleep,voice.stopListening()
stop listening jarvis,en,sys.sleep,voice.stopListening()
go to sleep,en,sys.sleep,voice.stopListening()
jarvis go to sleep,en,sys.sleep,voice.stopListening()
go to sleep jarvis,en,sys.sleep,voice.stopListening()
that's all,en,sys.sleep,voice.stopListening()
jarvis that's all,en,sys.sleep,voice.stopListening()
that's all jarvis,en,sys.sleep,voice.stopListening()
सुनना बंद करो,hi,sys.sleep,voice.stopListening()
jarvis सुनना बंद करो,hi,sys.sleep,voice.stopListening()
सुनना बंद करो jarvis,hi,sys.sleep,voice.stopListening()
सो जाओ,hi,sys.sleep,voice.stopListening()
jarvis सो जाओ,hi,sys.sleep,voice.stopListening()
सो जाओ jarvis,hi,sys.sleep,voice.stopListening()
बस इतना,hi,sys.sleep,voice.stopListening()
jarvis बस इतना,hi,sys.sleep,voice.stopListening()
बस इतना jarvis,hi,sys.sleep,voice.stopListening()
sun-na band karo,hinglish,sys.sleep,voice.stopListening()
jarvis sun-na band karo,hinglish,sys.sleep,voice.stopListening()
sun-na band karo jarvis,hinglish,sys.sleep,voice.stopListening()
so jao,hinglish,sys.sleep,voice.stopListening()
jarvis so jao,hinglish,sys.sleep,voice.stopListening()
so jao jarvis,hinglish,sys.sleep,voice.stopListening()
bas itna,hinglish,sys.sleep,voice.stopListening()
jarvis bas itna,hinglish,sys.sleep,voice.stopListening()
bas itna jarvis,hinglish,sys.sleep,voice.stopListening()
what can you do,en,sys.help,voice.help()
jarvis what can you do,en,sys.help,voice.help()
what can you do jarvis,en,sys.help,voice.help()
help,en,sys.help,voice.help()
jarvis help,en,sys.help,voice.help()
help jarvis,en,sys.help,voice.help()
list your commands,en,sys.help,voice.help()
jarvis list your commands,en,sys.help,voice.help()
list your commands jarvis,en,sys.help,voice.help()
तुम क्या कर सकते हो,hi,sys.help,voice.help()
jarvis तुम क्या कर सकते हो,hi,sys.help,voice.help()
तुम क्या कर सकते हो jarvis,hi,sys.help,voice.help()
मदद,hi,sys.help,voice.help()
jarvis मदद,hi,sys.help,voice.help()
मदद jarvis,hi,sys.help,voice.help()
कमांड बताओ,hi,sys.help,voice.help()
jarvis कमांड बताओ,hi,sys.help,voice.help()
कमांड बताओ jarvis,hi,sys.help,voice.help()
tum kya kar sakte ho,hinglish,sys.help,voice.help()
jarvis tum kya kar sakte ho,hinglish,sys.help,voice.help()
tum kya kar sakte ho jarvis,hinglish,sys.help,voice.help()
help karo,hinglish,sys.help,voice.help()
jarvis help karo,hinglish,sys.help,voice.help()
help karo jarvis,hinglish,sys.help,voice.help()
commands batao,hinglish,sys.help,voice.help()
jarvis commands batao,hinglish,sys.help,voice.help()
commands batao jarvis,hinglish,sys.help,voice.help()
explain fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis explain fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
explain fundamental rights jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
explain fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis explain fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
explain fiscal deficit jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
what is fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis what is fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
what is fundamental rights jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
what is fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis what is fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
what is fiscal deficit jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
tell me about fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis tell me about fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
tell me about fundamental rights jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
tell me about fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis tell me about fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
tell me about fiscal deficit jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
clear my doubt on fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis clear my doubt on fundamental rights,en,qa.answer,groq.answer(q)  // UPSC tutor
clear my doubt on fundamental rights jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
clear my doubt on fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
jarvis clear my doubt on fiscal deficit,en,qa.answer,groq.answer(q)  // UPSC tutor
clear my doubt on fiscal deficit jarvis,en,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights समझाओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights समझाओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights समझाओ jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit समझाओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit समझाओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit समझाओ jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights क्या है,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights क्या है,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights क्या है jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit क्या है,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit क्या है,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit क्या है jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights के बारे में बताओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights के बारे में बताओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights के बारे में बताओ jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit के बारे में बताओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit के बारे में बताओ,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit के बारे में बताओ jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights पर संदेह दूर करो,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights पर संदेह दूर करो,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights पर संदेह दूर करो jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit पर संदेह दूर करो,hi,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit पर संदेह दूर करो,hi,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit पर संदेह दूर करो jarvis,hi,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights samjhao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights samjhao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights samjhao jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit samjhao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit samjhao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit samjhao jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights kya hai,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights kya hai,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights kya hai jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit kya hai,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit kya hai,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit kya hai jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights ke bare mein batao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights ke bare mein batao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights ke bare mein batao jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit ke bare mein batao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit ke bare mein batao,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit ke bare mein batao jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights ka doubt clear karo,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fundamental rights ka doubt clear karo,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fundamental rights ka doubt clear karo jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit ka doubt clear karo,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
jarvis fiscal deficit ka doubt clear karo,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
fiscal deficit ka doubt clear karo jarvis,hinglish,qa.answer,groq.answer(q)  // UPSC tutor
